status,aircraft,travel_type,travel_class,route,date,seating_comfort,staff_service,food_quality,entertainment,wifi,ground_service,value_for_money,recommended,overall_rating,review
✅ Trip Verified ,A340,Family Leisure,Economy Class,Hong Kong to Venice via Frankfurt,Apr-23,,,,,,1,1,no,1,"  
My family and I were so excited to visit Venice for the first time, and booked an April 1 departure flight from Hong Kong though Frankfurt with Lufthansa.  Firstly, they canceled my outbound flight just a few days before without automatically rebooking me on an equivalent flight (incredibly, they just removed the segment from my itinerary), with just a discrete email sent to me. I felt myself lucky that I checked my email a day before going to the airport and realized what had happened. As their on-line rebooking system was completely useless (ie. they had simply removed the cancel flight segment without a trace from my itinerary, and so the on-line system could not even find it to rebook.). After 30 minutes of frustration with their useless chatbot, I called into their customer service line, and then the next 90 minutes of pain really started. I tried both their local HK and German hot lines, with a reasonable wait each time, but each time a few minutes into the call, the line would simply cut off. This happened whenever they put me on hold, and sometimes at other random times also. After trying both mobile and land lines at my end, I realized this was probably Lufthansa's IT system issue which the agents seem obvious to. In the next calls, I had to beg the agent to call me back if the line dropped so that they could complete the rebooking transaction. None did for about 10 tries! The Asia-line call center was particularly horrible, as the agent was incredibly rude and evasive, trying to argue immediately that Lufthansa had no responsibility to handle the case as the original ticket as booked through an on-line agent (I booked through Booking.com, whom I had already call. They indicated the Airline was the only one who could make the booking change). Incredibly the agent spent about 3 minutes tried to find every opportunity to evade instead of just solving the problem, and eventually the line dropped (or perhaps he just hung up on me!). Incredible that Lufthansa hires people like this for customer service.  That night, after nearly 90 minutes of trying, I finally got someone on the German call center who was kind enough to call be back after the system dropped the call. She said she rebooked me on a KLM flight that departed half a day earlier and despite the horrible experience, I thought I was saved! Next day, a Friday, my family (4 of us) rushed to the airport to catch the new flight. We had to pull both of our kids out of school a few hours early, and I left work early as the new flight departed mid-day Friday, instead of the original we booked which was early AM Saturday, just after midnight. We didn't realized the horrible April Fools trick Lufthansa has played on us until we reached the KLM check in counter. With 2 hours before flight departure, the counter agent informed us that Lufthansa has incorrectly rebooked the flight with wrong ticket numbers and we could not get on the flight."
✅ Trip Verified ,,Business,Economy Class,Hamburg to Brussels via Munich,Dec-22,2,1,,,,1,1,no,1,"  On December 16th I was supposed to fly from Hamburg to Brussels. There was a strike so at the airport they rerouted me over Munich on a flight not affected by the strike. No problem, it happens. My flight to Munich, unfortunately, left with delay so I missed the connection in Munich. And then it started. Since it was already late the Lufthansa staff in Munich to just organize your own hotel and they would provide a refund after which they just closed the office. Now they refuse to refund the hotel. Avoid this airline at all cost. If you miss your flight they leave you stranded with no assistance at all."
✅ Trip Verified ,,Family Leisure,Economy Class,Budapest to Cancun via Frankfurt,Jun-22,,,,,,1,1,no,1,"  Choosing Lufthansa with my wife to spend our honeymoon in the US. Flight was cancelled due to covid, so changed our trip to Mexico in 2021. My wife got a leg thrombosis being pregnant before the trip. They were willing to convert the amount we paid into a flight credit. They were not able to provide any written confirmation of it, but we thought we are in good hands. In 2022, our son was born with a rare genetic disease. Of course, we were unable to travel with him, and did not focus on our travel credit. Contacting the customer service this year, they informed us that the credit expired (with no previous notification, or alert). Since then, regarding the situation we are in, just wanted to extend the credit, to be able to use the amount we already paid. From department to department they are sending us. We are sending emails, proceeding phone calls without any help. "
✅ Trip Verified ,,Family Leisure,Economy Class,Seattle to Berlin via Frankfurt,Jun-22,2,3,3,,,1,2,no,1,"  If you are ever promised to be reimbursed for expenses when they lose your luggage, don’t ever count on it.  My two kids and I flew to Germany several months ago. When we arrived in Berlin, my suitcase was no where to be found. I stood in line for over an hour. When I finally reached the front, I was told the bags were normally located within a day. They promised they would “do what they could” and that I would be reimbursed for any expenses that were incurred. The documents they handed me stated the same. The next day: no bag. I continued to check the website, call and email. No response. The website for lost luggage just stated it was still missing. We left and stopped at several second hand stores to find cheap clothes and other necessities, including a small suitcase and toiletries. I thought I did pretty well and kept the cost under $500.00. EXACTLY ONE WEEK LATER We were in Munich when I received an email notifying me the suitcase was in Berlin. The email had a phone number to call with any questions or concerns. No response to emails. Phone calls bounced through automated systems like a pinball. I selected every option throughout the entire system and never reached a live person. Two weeks later we arrived back in Berlin where we would stay for two more days before flying home. I went to the airport to finally retrieve the luggage. I parked in the temporary lot which allowed for 20 minutes of parking before fees incurred. I went in and, after much hunting, located the area where the lost bags office for Lufthansa. Literally hundreds and hundreds of suitcases, bags, etc. It took 40 minutes to find it. I mentioned paying the fine for the parking. The rep stated: “You can add it to the claim for reimbursement. Just keep the receipt”. We returned home and, within a couple weeks, I sent off the claim and receipts, along with copies of the original lost bag documents and emails I had received. After a month I received an email requesting I send the documents for the claim again. I resent the documents with the information. Six weeks later, I received another email requesting my ticket information and address. I sent the information back again with the message about a third time After two more months I received a final email: “Thank you for your feedback We sincerely apologize for the unintentional delay in responding to you. As Per your email, we regret to hear that your baggage was delayed at your destination. We can imagine what it meant for you to travel and not have your essential items as you intended. Please accept our sincere apologies for the inconvenience caused to you on this occasion. Liability for baggage is clearly regulated by law, and we must fulfill certain criteria in order to be able to meet your request for compensation. The passenger must indicate the damage amount and prove it with the help of receipts, e.g., sales receipts or credit card receipts. As much as we understand your irritation, we are unable to comply with your request for reimbursement of the expenses for your replacement purchases. We hope for your understanding that we cannot pay damage compensation under these circumstances. We nevertheless hope to welcome you on board a Lufthansa flight again soon."""
Not Verified ,,Business,Economy Class,Munich to Hamburg,May-23,3,1,1,,,2,2,no,3," Lufthansa allows a standard hand luggage 55cm 8kg plus 1 item (laptop bag, no weight requirement). Entering the plane, there was no space at all to place a hand luggage in the cabin overhead bin. That was because all the passengers had already placed there not only their hand luggage but also their plus 1 items, jackets, etc. I informed a flight attendant about this, she apologetically told me ""I know but now it is difficult to fix this"", an attitude I respected although the problem was not fixed. A bit later, another flight attendant tried to ""help"" me however he was not even able to place my small plus 1 item in the cabin bag. Then, I told him again that there are numerous bags in the overhead bin that should not be placed there and they should be moved underneath the seat so that the 55cm luggage can fit. He just started lying to me about the weight of the hand luggage, claiming that both items should weigh up to 8kg (which is a cheap lie according to the official website of Lufthansa) and everyone has done the same here. That is rudeness at a different level, I've never encountered anything like that because flight attendants are super polite and helpful typically (1st time flying with Lufthansa though, maybe that's the problem here). He also claimed that the laptop bag is typically to be used in the overhead bin and the 55cm underneath the seat, that sounded so ridiculous. All in all, instead of trying to help a customer who apparently has paid so that he is able to travel with a decent sense of comfort (without having to place his feet between a 55cm luggage on the floor while keeping the laptop bag at hand during the entire flight), the flight attendant tried to blame a passenger for his own shortcomings being unable to arrange a correct baggage placement in the aircraft! I have NEVER seen such an attitude by a flight attendant in so many flights I've been present. To the contrary, all flight attendants typically rearrange the luggage and try to solve any problem so that everyone can fly in a decent setting. I will certainly never use Lufthansa again, it was the first and last time I did and I would discourage anyone using this airline that does not care about customer service at all!"
Not Verified ,A321,Solo Leisure,Business Class,Madrid to Munich,Apr-23,4,5,5,3,3,4,5,yes,10," I feel more like telling others of positive experience. And my Lufthansa's flight from Madrid to München/Munich 26. April was a very good experience. A brand new, very clean aircraft, a wonderful welcoming crew - and above all, a very good, hot meal (I chose chicken breast). I'm impressed - this was only a two hours flight. Good wines."
✅ Trip Verified ,Embraer 190,Solo Leisure,Economy Class,Brussels to Frankfurt,Apr-23,1,1,1,,,2,1,no,3,"  Lufthansa has now become the European legacy carrier cutting costs to compete with the growing low cost carriers. Nearly everything extra is now charged, checked bags, seats, food etc. To change flights sometimes costs more expensive than buying a new ticket, and from my past four flights with them, none left on time. They have announced a new cabin refurbishment, I am skeptical."
✅ Trip Verified ,,Family Leisure,Economy Class,London to Cape Town via Munich,Dec-22,3,3,1,,,1,1,no,1,"  Our flight was delayed from for 3 hours it then took off and diverted to a different airport 3 hours later. It stayed here for another two hours due to weather conditions (which happens) what was not acceptable however, was not providing any food. By this point my children hadn't eaten since midday and it was now 9pm. It then finally arrived at Munich at 2230 and we disembarked at 2300. Told to head to the service desk to see what was next, especially since a lot of people including us had missed their connection flight. The queue was huge and the very helpful help desk closed at 0000 before most people could get any information. A tannoy announcement came over saying they could not provide any hotels, but people could either get a hotel and then claim it back or were welcome to stay at the airport, on the floor, and check on the flights at 0600 the next day. No substantial food was offered. A twix and juice carton was provided to substitute the missed meal. We opted to go for a hotel as we had young children. Unfortunately the taxi queue was also huge! To make things worse it was outside in the snow, and well into the minus numbers. What turned this experience from awlful to utterly ridiculous was that we had barely any warm clothes as our final destination was South Africa in the summer. We had to wait an hour before we could get a taxi. We were not allowed to collect our baggage which we may have been able to add a few more layers, as it had been transferred to the flight tomorrow. Or so the tannoy said. We were unable to confirm this, as previously mentioned, the help desk closed. I checked on the app and it did appear that we were on the same flight the following day. I was unable to reserve seats to ensure we were sat together as the flight was less than 24 hours away, but that was a task for tomorrow. That morning I discovered that I had in fact been kicked off that re-booking. According to the app I had now reached my final destination and so the seats were now vacant and booked by someone else. I attempted to use the app, online portal, the live chat and calling up the help line number, none of these could help and told me I had to go the the service desk in the airport. I then spent from 0945 till 1205 in a queue to speak to one of the 5 people working in the service help centre (I was number 3538 and when I got there it was at 3342) there were 12 desks for attendants to work from, but Lufthansa decided that the queue trailing the length of the airport only justified half filling those positions. Finally I was told that it was a glitch in the system and that there was nothing they could do about it but would book me in for the following day. So me and my family had to spend another day in mid winter with no warm clothing. Luckily the there was no issues with the next flight, except that our laggage was temporarily missplaced. We did manage to recover it and headed out for our holiday thinking that the worse was behind us. This was just the outward journey. The I was informed on 4pm the day before the flight home. It had been cancelled! I spent 4 hours on hold to get in touch with the ever-so-helpful Lufthansa online chat number 372 in queue! They informed me that the link flight from Frankfurt was cancelled due to bad weather condition and would not find a replacement flight."
✅ Trip Verified ,A350,Couple Leisure,Economy Class,Newark to Munich,Apr-23,3,5,4,5,5,5,5,yes,9,"  I took a return trip from PL to US this April and the crew was amazing. On the way there I had to call them to come as I had a problem with a passenger behind me - crazy woman who had three seats to herself but wouldn’t let me recline when I tried to, the crew came and helped me deal with that. On the way back the crew were smiling and very helpful. The food was good on the way to USA, worse on the way from USA but I’ve been traveling there for almost 20 years and that is always the case. Overall the trip was really good. Only tiny complain I would have is there space is little small on the A350."
✅ Trip Verified ,,Couple Leisure,Economy Class,Berlin to Philadelphia via Frankfurt,Oct-22,1,4,2,2,,1,3,no,3,"  The last time I flew with them my return flight was canceled 1 week prior to my trip (and the year before it was cancelled during my trip!). The proposed option was to rebook us (myself and my husband) onto a Eurowings Discover flight! This is outrageous as an offer as that is a low-cost flight and we booked Lufthansa. Instead of resorting to this option I decided to call and get rebooked to a United flight from a different city (Newark). I called the number provided in the cancellation of my flight email from Lufthansa, but the person I spoke with was a third-party agent and unfamiliar with their job. I had to give them step by step instructions on how to proceed - and their incompetence totally screwed us up on our return. The night before my flight I could not check in as our return tickets were not being recognized. I spent hours of time with a United customer service agent. The agent eventually booked our seats assignments, but when I reached the airport we could not check in! We then had to go to the counter and the agent there had to fix our tickets as my husband wasn't even listed as a passenger. She told us that this was Lufthansa's fault for not entering proper code data. If we hadn't had seat assignments we would have missed our flight. After flying both Lufthansa and United, I can say United is better. This is shocking to me as previously Lufthansa was far superior but their standards have drastically changed. The food is bad, the entertainment selection is mediocre, and worse the seats are horrible! The only positive is the staff was friendly. It was so uncomfortable and I am used to the trek across the ocean but this past time was unbearable. I will now do my best to avoid Lufthansa for all future flights - it's not worth it!"
✅ Trip Verified ,,Couple Leisure,Economy Class,St Louis to Frankfurt,Dec-22,2,5,5,3,,5,1,no,3,"  When called customer service was told 2 days before trip that my confirmed reservation had changed from STL-Frankfurt round trip to Frankfurt -STL round trip. This was after 4 dropped calls. They charged $700 for my spouse and myself to correct their error. Despite multiple emails, they have not responded other than canned emails requesting patience. If you must fly them, avoid any questions to customer service which appears to be an outsourced travel agency, for profit. We were foolish enough to be trying to ascertain cost of upgraded legroom seat, but had a really expert shakedown. On the good side, ground and flight staff great"
✅ Trip Verified ,A340,Business,First Class,Munich to Miami,Mar-23,3,2,1,1,,3,2,no,4,"  Flight was done in a worn A340 - despite a very personal welcome by the captain all the other items were not okay not for First Class. Hot towels are gone, F&B operations were not appropriate for First Class. There is some caviar however with one tin of 100 g FA must serve 8 people. Other appetisers were very so-so, and beef cheeks is not a luxurious product. Also the fish was not nice. The second meal was ranging from rather fat cold cuts to stewed fruits. The wines were not very attractive and cheap mineral waters were thrown out of plastic bottles in a kind of carafe. For First Class a rather limited alcoholic drinks - despite friendly one of the FA was not qualified to do the service in First. Lufthansa in First : a poor experience the result of a rather serious zeal of economising despite the very high fares. A very hefty deterioration in standards and the red rose in front of my seat could not change my mind that I did not enjoy my flight at all. There was an amenity bag however not in leather."
Not Verified ,,Couple Leisure,Economy Class,London to Phnom Penh via Singapore,Apr-23,,,,,,5,5,yes,10,"  When checking in at LHR we were informed of a 1 hour delay to departure, which would likely have meant missing our connection to Singapore (1 hour 25 minutes). Without prompting, the check in agent suggested they rebooked us on a Singapore Airlines flight direct to Singapore. They checked that the Singapore airlines flight had availability and took us to the sales desk to get us rebooked. As a result, I am writing this review from the lounge in Singapore while anticipating an on time arrival in Phnom Penh. Without the Lufthansa check in staff’s thinking, it is likely I would be boarding a plane in Frankfurt around now and reaching Phnom Penh a day late."
Not Verified ,,Solo Leisure,Economy Class,Frankfurt to Bergen,Mar-23,3,2,1,,,1,1,no,3,"  At check-in in Frankfurt only business class or above have a staffed counter - everyone else has to struggle through an automated system. Once on the plane flying economy you get a bottle of water and a tiny piece of chocolate, Not only do have to pay for a warm drink but it is also not good and you have to use a card to pay. I flew back with KLM which still treats passengers like customers. I will avoid Lufthansa if I can in the future."
Not Verified ,,Solo Leisure,Business Class,Istanbul to London via Frankfurt,Nov-22,2,4,4,,,1,2,no,2," Never again. First time I've flown with Lufthansa in many years and my first time flying in business class with them. The post-purchase experience is absolutely appalling. They are incredibly difficult to contact and incorrectly denying any compensation claims. They send you repeated 'copy-paste' responses that don't correspond at all to your submission, then stop replying altogether. There was no in-airport support at Istanbul, we were denied access to the business class lounges when they cancelled our flight (which was their fault) and offered absolutely no compensation or support. The planes were dated with poorly maintained interiors. Very friendly cabin crew though. I don't see myself flying again with them internationally any time soon."
Not Verified ,,Solo Leisure,Economy Class,Frankfurt to New York JFK,Apr-23,1,5,1,,1,1,1,no,1,"  Lufthansa economy seems to work out to be more expensive then its premium economy option by charging extra fees for everything under the sun. It seems almost disingenuous after seeing the price of very basic amenities stack up to more then you would have paid for a more pricey ticket. All in flight services felt extremely low budget. Everything was hidden behind a pay wall. I payed 18 USD for their second tier “fast” in flight wifi that would not even suffice to write this review at the time of my flight. The in flight meals were about as basic and cheap as possible. My advice would be to take your chances with another airline. On the only positive note I can think of, the flight crew were very friendly."
Not Verified ,Boeing 747-8,Family Leisure,Economy Class,Miami to Cairo via Frankfurt,Apr-23,3,3,3,4,,2,2,no,1,  I was Traveling to Egypt from Miami via Frankfurt. My flight from Miami to Frankfurt delayed by one hour but once I was at the terminal I ended up waiting another hour on top of the delay making it two hours delayed. In Frankfurt my flight was once again delayed although only half an hour.  On the way back our flight Cairo to Frankfurt was delayed by 12 hours which caused us to miss our connection to Miami - after an hour on the phone with Lufthansa we figure out we are getting back to Miami with a flight the day after. In Frankfurt the next day for the last flight going from Frankfurt to Miami the gate changes to 30 gates away from the original. Once getting to the new gate and waiting for 30 minutes an announcement saying that the boarding process would not begin for another half hour after it was scheduled.
✅ Trip Verified ,,Solo Leisure,Economy Class,Frankfurt to Mexico City,Mar-23,1,5,2,1,,4,3,no,6,"  I have been a loyal customer of Lufthansa both for economy and business flights for over 16 years, being my second preference after SWISS. Flying long-haul with them for the first time after the pandemic, how things have changed! It was the worst in flight experience. The hardest seats one can possibly imagine for an 11h flight. Terrible food, and in the smallest quantities, no snacks, no fruit for in between. And the entertainment console, I could not even imagine something this terrible can exist in 2023. It was touch screen but mostly an instrument of torture for your fingers, and the slowest thing one can imagine. Not too great of a selection either. Paid internet available. Obviously their safety record is great, and I am happy they got me to my destination safe and on time. But it would have been nice if they did it with a bit more comfort. I am really disappointed to see what was a really great airline to fall so low in terms of service. "
✅ Trip Verified ,,Couple Leisure,Economy Class,Frankfurt to Houston,Mar-23,1,1,1,1,,1,1,no,1,"  The plane from Amman to Frankfurt is old, seats are hard and flight attendants not helpful or friendly. The boarding process is inefficient. The plane left late and arrived late. With a narrow time with the connecting flight, we have to use the back door of the plane and take a shuttle to get to the airport terminal and then go through security again. In Frankfurt, the desk assistant was slow . People are lining up to ask questions and to ask for upgrade and about 20 people on the line waiting for assistance.  The boarding process is again inefficient, slow, and late again. We have to go down steps to board the plane again. I will never take Lufthansa again. No TV on the plane from Amman to Frankfurt and plane amenities are old and no WiFi. "
✅ Trip Verified ,,Business,Business Class,Thessaloniki to Munich,Mar-23,4,1,3,1,5,1,1,no,1,"  It was my worst experience ever. My flight was from Greece to Dublin via Munich. We were not aware that in the Munich airport had some technical issues and the majority of European flights, were being cancelled. Although the pilot prior take off from Greece and due to a flight delay mentioned about these issues in Munich no one bothered to inform us that we might lose our flights and be stuck in Munich. The following 2 days it was known that the staff in Munich airport was in strike so no flights. During the flight I found out that my flight from Munich to Dublin was cancelled. When I asked the flight attendant what am I supposed to do and why they did not inform us earlier to find another option to travel to Dublin, she replied you may be able to travel to Dublin on Tuesday, 3 days later."
Not Verified ,,Couple Leisure,Economy Class,Dallas to Toulouse via Frankfurt,Mar-23,1,1,1,1,1,1,1,no,1," I think the fact that Lufthansa states “We are aware that due to the steady increase in personal and business travel, we are currently unable to provide you with the excellent service you have come to expect from us” says it all. When customers book flights, they are entering an agreement (typically an expensive one) with the airline. In our case, we upheld our side of the bargain and Lufthansa consistently failed to uphold their end of the bargain. Never mind “unable to provide you with the excellent service you expect” - this was well below “does not meet expectations”. Our Journey from Hell - STEP 1: We originally were set to leave Dallas to Frankfurt for a connecting flight (both Lufthansa) to Toulouse. For reasons outside of our control/not related to weather, the plane was delayed. We chose to try to make our connecting flight instead of rebooking after speaking to the person at the front desk. We spent the entire 9 hour flight stressed about whether we’d make it in time. STEP 2: Our connecting flight was delayed - pretty on brand and a trend that would continue for the rest of our journey. At first we thought it was our lucky day, we sprinted across the entire first floor of Terminal A and up 5 flights of stairs to get to our terminal. WE MADE IT AS THEY WERE STILL BOARDING! We did everything in our control as the customer to be there, yet alas - as we presented our boarding passes, the attendant realized they had given away our seats to standby passengers that were standing right next to us. He pulled us aside, and as we were waiting for him to check our tickets, they continued to let other passengers board. We were finally told they only had 1 more seat left and moved us to the next flight which was a total of 6 hours later (plot-twist: you guessed it, that one was delayed by an 1.5 as I’m writing - AND COUNTING!) The icing on the cake is that they tried to give us $15 meal vouchers for our trouble, but upon presenting them to a vendor, they had not been loaded. DO WE EVER MAKE IT TO OUR DESTINATION? That is a question we still have no clue what the answer will be. We’re going on over 8 hours of total delays, the airports are closed tomorrow due to strikes. Also who knows where our bags are. I can only hope they uphold THEIR side of the agreement and get us to our destination. If you as an airline or business cannot uphold your end of the agreement, and continuously fail to meet the agreement, then it is my opinion that refunds should be provided. I will NEVER fly this airline again and will be sharing this story broadly with my friends, family, and any acquaintance on my socials."
✅ Trip Verified ,,Family Leisure,Economy Class,Munich to Dublin,Feb-23,3,5,,,,1,1,no,1,"  It is now over a month since Lufthansa confirmed refunds in relation to a cancelled flight. Despite both email and verbal confirmations of refunds, Lufthansa have yet to honour the refund payment. It is unacceptable that a refund would be confirmed and then not actually paid, particularly in the circumstance where I had booked another flight with Lufthansa in order to return from Munich following my original flight cancellation. I have now in effect paid twice for my family to fly home. What makes this all the more frustrating, is that despite completing numerous “Customer Feedback forms” on the Lufthansa website, no one is responding to my queries and if any response is received it is an automated one. I have attempted three times to speak with a customer services representative and on every occasion they state that the “refunds department” is dealing with the request. At no point have I been able to speak to the refunds department and at this stage I believe Lufthansa to not be honouring the refund and frustrating my ever attempt to receive clarity on the situation in an effort to deter me from pursuing further. It is easily the worst customer service experience I have had with an airline. Which is saying a lot given issues experienced during the pandemic. Truly disgraceful and very disappointing."
✅ Trip Verified ,A340-600,Couple Leisure,Economy Class,Budapest to Miami via Munich,Mar-23,2,2,1,1,1,1,2,no,3,"  BUD-MUC-MIA: IFE did not work, headheadset is outdated and uncomfortable. Food was below average and for a 10 hour flight after food service they provided only a small bag of crackers. No additional drinks or crackers were avalable in the galley. When asked for more I got another small cracker. MIA-MUC-BUD: IFE touchscreen is a disaster. Booked payed seats and they reseated us for what? IFE did not work on those seats! Only one soft drink service for a 9 hour flight, dinner was average but the morning breakfast was the most disgusting sandwich. Luthansa has definitely became a below average airline. "
✅ Trip Verified ,,Business,Economy Class,Budapest to Denver via Munich ,Mar-23,1,1,1,,,1,1,no,1,"  Customer service is rude because they know they don't need to be otherwise. I asked in Budapest for information on how to leave a comment and they said that there is no way to do so. They said they are not Lufthansa they are just the contracted agency. Therefore they said they do not need to follow Lufthansa rules. So, even though I checked with a Lufthansa representative, they said it is my responsibility to check with them. I was only able to bring my purse, so I am now going to have to hand carry all of my laptops, iPad, cords. I have no bag for them because they don't fit in my purse. This is the most illogical thing I have ever encountered. I will do every thing I can to not take Lufthansa. They are a really bad airline"
✅ Trip Verified ,A350-900,Family Leisure,Economy Class,Dubai to Munich,Mar-23,1,1,3,4,3,2,2,no,1,  Legroom in Economy was below minimum. With the Backrest in front of you at the back position you cannot eat or have a tablet on the table.  The seat becomes uncomfortable after 3-4 hours. One snack (vegan Wrap) and one Meal (vegetarian Pasta or Chicken with couscous) was served - Taste was ok. Wine was offered free of charge. Crew was not very friendly. Infotainment was good. Lot of movies to decide and an USB-Socket. 
✅ Trip Verified ,A320neo,Business,Business Class,Frankfurt to Prague,Mar-23,3,5,5,,4,1,4,no,9,"  Definitely not a big fan of Lufthansa but this time it was a joy flying with them. A super motivated crew, joyful and friendly: what a difference it makes (one might question why we have to mention this, nowadays). Food was minimal because of the short hop (45 mins flight) but actually very nice. Two rounds of drinks and we were already touching down."
✅ Trip Verified ,Boeing 747,Business,Business Class,Miami to Milan via Frankfurt,Mar-23,1,3,2,1,1,2,2,no,3,"  Business class seating is well below industry standard, finding yourself with feet/legs essentially on your neighbor; wifi doesn’t work, overcrowded lounge in MIA. Left baggage in Frankfurt and would only deliver them next day even if they arrive on a flight 2h later."
✅ Trip Verified ,A320,Solo Leisure,Economy Class,Frankfurt to Milan,Dec-22,5,2,2,1,1,5,2,yes,5,"  FRA-MXP and LIN-FRA in December. Two uneventful one-hour flights. Planes are clean and in a good condition, but service level is minimal. A bottle of water and a piece of chocolate is all you get. No further drinks or snacks available, not even for purchase! I was looking forward to get a coffee in the morning but was disappointed. Crew gave out water and chocolate, then disappeared. WIFI didn't work on both flights and Inflight Magazine is gone. Fares are high, service is low, that’s Lufthansa now. Nevertheless recommended because of their reliability."
Not Verified ,,Family Leisure,Economy Class,Munich to Manchester,Mar-23,5,4,1,1,1,4,3,no,5,  Service is now worse than budget carriers. A free bottle of water and a chocolate don't make up for the ridiculous fees for changing seats etc. Planes are clean staff are friendly but service is no better than a budget carrier and pricing is premium. Every opportunity to extract money is taken - you can't even pick a seat at check in and when a seat is allocated the fees to change are high. The app often doesn't work as it should and presents errors preventing you from making changes to bookings.
✅ Trip Verified ,A340,Solo Leisure,Economy Class,Mumbai to Munich,Feb-23,1,4,1,3,1,1,1,no,1,"  I booked a round trip on United Airlines ORD-MUC-BOM. The sectors MUC-BOM-MUC were operated by Lufthansa. I paid an additional amount to ensure an aisle seat. On the return leg, BOM-MUC much to my surprise I was allotted a middle row seat. On arrival MUC I contacted LH Customer Service but was summarily told to go online with my complaint. These people should not sit behind Customer Service counters if they do not know how to talk to customers. I submitted my complaint on-line and received feedback from Lufthansa - ""Thank you very much for contacting us regarding your flight. The respective operating carrier, who has access to all relevant flight operations data, is best suited to address flights which fall under EU regulation 261/04. We have therefore forwarded your correspondence to the operating carrier UA to facilitate the fastest and most accurate answer. UA will contact you as soon as possible. We thank you very much for your understanding."" The payment I made was directly to Lufthansa and not United Airlines. Lufthansa is simply avoiding their responsibility and deflecting from this service failure. I have heard of other instances where Lufthansa makes you pay for a preferred seat and does not assign the seat at the time of boarding."
Not Verified ,,Business,Business Class,Los Angeles to Nurnburg via Munich,Mar-23,2,3,1,2,1,1,3,no,3, This airline does only the minimum to satisfy customers. It is institutional at best. Look elsewhere if you want to enjoy your travel experience. There are far better options!
✅ Trip Verified ,,Solo Leisure,Economy Class,Warsaw to Madrid via Frankfurt,Feb-23,1,3,2,,,1,1,no,1,"  They lost my suitcases when I went to Warsaw and took 5 days to deliver it to me. On top of that, they lost my suitcase again when going back to Madrid. It’s been 2 weeks since then, and I haven’t still gotten any notice or updates on my suitcase. I don’t know where it is. I had to come to the airport three times to see if they’ll be willing to give me back my property. I have to wait for hours on end. "
✅ Trip Verified ,,Family Leisure,Economy Class,Denver to Warsaw via Frankfurt,Dec-22,1,1,,,,1,1,no,1,"  Had an absolutely horrible experience with Lufthansa. My parents were traveling from Denver to Warsaw with a layover in Frankfurt. They were denied boarding, involuntarily rebooked multiple times, and never received compensation for all the inconveniences. Horrible customer service. I will never use Lufthansa again and do not recommend it to anyone else."
✅ Trip Verified ,,Solo Leisure,Business Class,Munich to Cape Town,Feb-23,1,2,1,2,1,1,1,no,1,"  I flew in business class in one of the most uncomfortable and derelict seats I’ve encountered. The seat lacked any cushioning in the top 2/3rds of the back, because the adjustable airbag system had permanently deflated. I was told they could not reseat me because all remaining business class seats were also broken. The IFE system reset multiple times and was unresponsive for minutes at a time, and the tray table refused to stay concealed within the arm rest, as the latch was broken. The seat offered no privacy and angles adjacent passengers towards each-other, increasing opportunity for uncomfortable incidental contact with strangers. The airline offered me no form of compensation."
✅ Trip Verified ,,Solo Leisure,Economy Class,Munich to Zurich,Feb-23,1,3,1,,,3,1,no,1,"  Lufthansa has good flight slots and modern aircraft, but that's about it. The seats are uncomfortable, the food is abysmal or non existant but the worst is the customer service. The IT services are regularly down, making it impossible to rebook your flights. The callcenter does not answer, waiting times of more than an hour are normal. Sometimes you have to drive to the nearest airport to rebook your flight, and this in the most expensive fare classes Economy and Business Flex. No apologies ever. Add to this the ridiculously high fares and you have a wannabe premium airline with a sub-par service which is often below the standards of Ryanair, Easyjet, Vueling or other low cost carriers. Unfortunately, Lufthansa holds a monopoly on many European routes if you want to fly non-stop. Be cautious if you book this airline."
✅ Trip Verified ,,Solo Leisure,Business Class,Miami to London via Munich,Dec-22,1,2,2,,,1,1,no,1,"  I flew from Miami to London via Munich business class in December 2022. The lie flat seats are the worst I've ever experienced in a business class -  they recline all the way, but they're two seats next to each other, and there's no privacy, no storage space. If you're by the window, then the person next to you, when they recline all the way, there is absolutely no way to get out - their legs are too high for you to climb over, so if you need to go to the loo, you have to wake them, get them to sit up so you can get out, then they have to wait for you to come back before they can settle down again. The little bag of goodies contained a couple of tiny tubes of moisturizer - no earplugs, no eye mask . And when we got to Munich for the connection, we had to climb down 6 flights of stairs, onto a bus, be driven out to the plane, climb up another flight of steps. They lost my bag for 4 days, but their website says you can buy essentials up to the value of 1500 pounds sterling - and they'll reimburse you. I spent $83.02 in total, on essentials, I submitted my claim on 1st January - 30 days later - nothing - I contacted them and they said ""we never received your claim, you're now out of the window to make a claim, tough"".  I had all the receipts  and I told them how angry I was. They said as a favor to you, this one time, we will reimburse you. I waited and waited and sent emails. Then I was told oh, we did pay you but by mistake cancelled the payment. They said they'd do it again, to be patient and wait two to three weeks. I waited. I pestered them, they said oh we've sent the wire, here's the payment confirmation (just some numbers, which do NOT constitute a wire confirmation number) and to check with my bank to see why it hadn't been received."
