status,aircraft,travel_type,travel_class,route,date,seating_comfort,staff_service,food_quality,entertainment,wifi,ground_service,value_for_money,recommended,overall_rating,review,watson_sentiment,watson_score,covid_19,company_age,log_company_size,log_net_profit
Not Verified ,,Family Leisure,Economy Class,Abu Dhabi to Salalah,Jul-24,1,1,1,1,1,1,1,no,1,"   My recent experience with Wizz Air was incredibly frustrating due to their poorly highlighted online check-in process. There is no prominent information indicating that passengers need to complete online check-in before arriving at the counter, or they will face a penalty. This detail is buried at the bottom of the page, which many people, especially first-time travelers, may not notice. As a result, I found myself in a long queue at the airport only to be informed that I had to pay a penalty of AED 190 for not checking in online. This was a huge disappointment and a stressful experience. I strongly urge Wizz Air to update their website and app to clearly inform passengers about the necessity of online check-in to avoid such penalties. In addition to the check-in issue, Wizz Air has numerous hidden clauses and additional charges that passengers need to be aware of. While the initial ticket price appears low, they start adding various fees, such as admin fees and charges for baggage over 10 kg. This deceptive practice results in a much higher final cost than initially advertised. I booked with Wizz Air only once, and I will never make that mistake again. I do not recommend this airline to anyone. If you have to spend a little more, consider other airlines to avoid the dissatisfaction and hidden fees associated with Wizz Air.",negative,-0.851394,0,20,8.531707,5.905089
✅ Trip Verified ,,Couple Leisure,Economy Class,Roma to Madrid,Jul-24,1,1,,,,1,1,yes,1,"  Flight W46011, on 07/03/2024, which left at 6:15 am from Rome to Madrid the boarding stewards made us pay for a suitcase when it was already included in the ticket, after trying to show them the ticket where it indicated that it included hand luggage, one of the stewards threw the suitcase at my friend and said she would call the police, In addition to giving us humiliating treatment, they intimidate you by not letting you fly. We paid for it because we had to work the next day and we are new at work. Do not travel with this airline.",negative,-0.484943,0,20,8.531707,5.905089
✅ Trip Verified ,,Family Leisure,Economy Class,Heraklion to Tel Aviv ,Jun-24,,,,,,1,1,no,1,"  Wizz Air cancelled the flight i booked, causing me approximately 1000 euro in additional expenses to book alternative flight. Initially I was offered around 30% refund. After i received 271.61 out of 405.32 euro paid under excuse that the luggage is not refundable. No matter that i explained numerous times that the company itself cancelled the flight, and that the service I paid for, to fly my luggage from A to B wasn't delivered, Nothing helped. Just got idiotic AI reply from their support. Every time you fly with these guys to save money, you end up paying twice more. Not again.",negative,-0.811904,0,20,8.531707,5.905089
✅ Trip Verified ,,Solo Leisure,Economy Class,Warsaw to Bucharest via Budapest,Jul-24,1,1,,1,1,1,1,no,1, The worst experience that I have ever had. I can’t believe that this company is still allowed to fly. Miserable from each and any point of view!,negative,-0.920007,0,20,8.531707,5.905089
✅ Trip Verified ,,Couple Leisure,Economy Class,Male to Abu Dhabi,Jun-24,5,5,,,,5,5,yes,10, Best airline for backpack travelers. The cabin crew staff Pepa very helpful. She understand our requirement and helped us immediately. As budget airline the staff is very helpful and hospitality wise great. Thank you Wizz air.,positive,0.956986,0,20,8.531707,5.905089
Not Verified ,A320,Solo Leisure,Economy Class,Cluj to Luton,Jun-24,1,2,1,1,1,1,2,no,3,"   Really a bad airline. Got very expensive over the last year but only provides red eye flights which are frequently delayed or cancelled. Costs seem low initially for the flight, but really if you add luggage, seat selection you are better off just flying with an established carrier not this so called low-cost. Another hidden cost is that Wizz usually flies to airports very far away from the marketed destination. So in the end you have to spend another 20-30 euros for a bus or another transfer. So is it still low cost? Seats are cramped. Service is all at a cost, not even water is provided. Plus the very annoying sales of perfumes and other amenities which are aggressively promoted via the intercom system. For European standards this is truly a nightmare. Next time you fly just consider all the costs and maybe decide to avoid Wizz..",negative,-0.875813,0,20,8.531707,5.905089
Not Verified ,,Couple Leisure,Economy Class,Barcelona to Cluj,Jun-24,1,1,1,,,1,1,no,1,"   For 2 and a half hours flight the plane had a 3 hours delay on one way and 4 hours delay on the return flight. No customer support, just a a phone number with huge extra fare where nobody answers. Terrible crew, rude and unprofessional. Not even close cheap enough for the awful service they provide. ",negative,-0.971314,0,20,8.531707,5.905089
Not Verified ,,Business,Economy Class,Larnaca to Budapest,Jun-24,,,,,,1,1,no,1,"   I had to pay an extra 120 EUR for cabin luggage, check in and service cost and service fee. Upon doing so I complained to the check in lady who called me a psychopath and started swearing and told me she has put me on wizz airs disruptive passenger list not just for that flight but for all of wizz Air flights and I would be unable to travel. She continued swearing at me, said she would called the police, I urged her to to so but she refused as I was not aggressive nor insultive and then I falsely told me she banned me also forever from Larnaca airport. I asked for a refund for my 120 EUR I just paid to Wizz since they banned me from the flight and they refused. I then contacted the airport police who tried to get me on the flight by speaking to her and she refused. ",negative,-0.725883,0,20,8.531707,5.905089
✅ Trip Verified ,,Family Leisure,Economy Class,Abu Dhabi to Amman,Jun-24,,,,,,,1,no,1,"  Horrible experience. They change my flights (both inbound and outbound) timings 2 hours earlier than what it was supposed to be, which made it impossible for me and my family to catch either of the flights due to other plans. Even though I booked the highest fare they have which is refundable, they refused to refund the money to me, they only offered to keep the money in my ""Wizz Account"", which can be used only to fly with them within 3 months, and that I definitely can not do. Their customer support is a joke. So it ended up where I can't do the flight because of their changes, but at the same time I lost my money which I paid for their so called ""refundable"" tickets. Please do not cheap out and book with them, check this airline's reviews, and you will know what I mean, horrible service, horrible timings. I have no idea how are they still allowed to operate.",negative,-0.859848,0,20,8.531707,5.905089
✅ Trip Verified ,,Business,Economy Class,Paris to Vilnius,Jun-24,,,,,,1,1,no,1,"  Avoid Wizz Air at all cost. My flight was cancelled just 12 hours before the flight. The 'alternative' that they offered was the next day but when I tried to book it, their website was saying all seats are booked and there are no free left! I had to buy another expensive indirect flight from other airlines the last minute. Most outrageously, Wizzair refused to give me any compensation (though the EU law requires it). Please avoid these airlines, they operate like a criminal gang and the customer service does not exist.",negative,-0.756136,0,20,8.531707,5.905089
✅ Trip Verified ,,Solo Leisure,Economy Class,Gatwick to Vienna,Jun-24,3,3,3,3,3,1,3,no,1,  Avoid Wizz Air at all cost. I couldn’t check in due to a site error that didn’t allow me to enter my phone number. It took customer support 30 minutes to figure out the issue and the solution was “enter 1234567890 as your number”. The flight has been delayed two times.,negative,-0.810945,0,20,8.531707,5.905089
✅ Trip Verified ,,Family Leisure,Economy Class,Samarkand to Abu Dhabi,Mar-24,1,1,1,1,1,1,3,yes,1," Unprofessional, rude Cabin Crew. They were talking to each other loudly, laughing loudly, mocking passengers in English understanding that the passengers from Uzbekistan knew no English, and singing songs causing disturbance to the passengers. Once informed, the team leader came and said ""You can't comment on our staff"". The whole team was unprofessional. I have never experienced this ever in any other airline. This incident happened on my journey on 07/03/2024 traveling from Samarkand to Abu Dhabi.",negative,-0.939644,0,20,8.531707,5.905089
Not Verified ,,Solo Leisure,Economy Class,Sibiu to Luton,Jun-24,1,5,1,3,1,4,2,yes,2,   I have been flying with this company for 11 years but today I was totally disappointed because I bought the seat at the back of the aircraft and when the meal was served I didn't have the opportunity to buy another sandwich and the peanuts I received were moldy.  The flight attendant's explanation was that there were no more sandwiches for those at the back of the plane.  I warn travelers who pay for their seats to buy in the front and middle only so they will be able to eat a sandwich and drink a beer or wine.  It's sad what's happening in 2024.  Zbor de 11 ani cu aceasta companie dar azi am fost total dezamăgită deoarece am cumpărat locul in spatele aeronavei și când s-a servit masa nu am avut ocazia sa mai cumpăr un sandvici și alunele primite erau mucegăite. Explicația stuardezei a fost ca nu au mai ajuns sandviciuri și pentru cei din spatele avionului. Avertizez călătorii care își plătesc locurile sa cumpere in fata și mijloc doar asa vor putea sa manance un sandvici și sa bea o bere sau vin. E trist ce se întâmplă în 2024.,negative,-0.936846,0,20,8.531707,5.905089
Not Verified ,,Couple Leisure,Economy Class,Katowice to London,Jun-24,1,2,,,,1,1,no,1," Avoid whenever possible. I have flown to over 20 countries with more than 15 airlines regularly traveling to Poland to visit my partners family. I always use the same carry-on bag for my laptop and a few clothes totalling around 9kg where the laptop is 5kg it comfortably and easily fits into all overhead compartments on all planes i have been on. Measuring my bag it is exactly the size they agree to for the non priority ticket, but due to a hard base and slightly protruding wheels of about 1.5cm it wouldn't fit in their overly small ""measure"" for this they hit you with an added £57.00. Wizz Air are money grubbing scum. Where they allowed the bag on the way out with no issue. Fly with someone else if you can. I am absolutely disgusted by their destruction of my weekend with my partner meeting her family for one of their wedding anniversary.",negative,-0.693087,0,20,8.531707,5.905089
Not Verified ,,Solo Leisure,Economy Class,London to Athens,Jun-24,1,1,,,,1,1,no,1, Worst airline ever. I had to pay 44 pounds for them to print my boarding pass and 54 pounds for my carry on. This airline is an absolute robbery. I have never experienced such terrible service at any other airline. Do NOT fly with them. I for sure will never fly with this horrendous airline. The value for money rating should be negative. 1 star is WAY too generous for this airline.,negative,-0.804779,0,20,8.531707,5.905089
✅ Trip Verified ,,Solo Leisure,Economy Class,Luton to Warsaw,Jun-24,2,2,,,,1,3,no,2,"  My flight was not only delayed but also I was mislead by staff at the gate, telling me first to wait with check-in and later to take my luggage onboard. At the gate, staff and supervisor were very rude and asked me to pay for luggage again. At their customer service, they responded with some generic respond, not really related to my case.",negative,-0.897793,0,20,8.531707,5.905089
✅ Trip Verified ,,Business,Economy Class,Sofia to Nice,Jun-24,3,3,,,,1,3,no,2,"  The airline charged me euro 45 to issue a boarding pass at the airport for the reason that i have not checked online. I had no checked luggage and i have paid for seat and for priority check in. I have no problem paying any cost for the airline ticket price, the seats, the priority boarding..etc.. this is the business model, however, paying a fee to issue a boarding pass is a little bit too much. When i tried to check online their app was not working. ",negative,-0.844408,0,20,8.531707,5.905089
✅ Trip Verified ,,Family Leisure,Economy Class,Bucharest to Stockholm,Jun-24,2,1,1,1,1,1,1,no,1,  On our way back from Bucharest the Wizz Air app for checking in was unavailable. The airline company charged us 135 EUR for check in although it was their app that did not work and they did not leave us any options for alternative check in methods. They only answer we got was to claim a refund through their homepage. When we did this they claimed that we couldn't get any refund back.,negative,-0.788296,0,20,8.531707,5.905089
Not Verified ,,Solo Leisure,Economy Class,London to Athens ,Jun-24,1,1,1,1,1,1,1,no,1, Worst airline ever. Charged me 44 pounds to print my boarding ticket. Then charged me 54 more pounds for my carry on bag that I have never have had to pay for in 20 different airlines. Never flying with them again and please do NOT fly with them. Worst airline experience in 20+ years of travel.,negative,-0.89074,0,20,8.531707,5.905089
✅ Trip Verified ,,Family Leisure,Economy Class,Istanbul to Luton,Jun-24,2,1,,1,1,1,5,no,1,"  Haven't dealt with such unruly staff ever. They were really rude to us when we asked them why the flight was delayed by an hour, then 90 minutes, and finally by a 120 minutes. This is all starting from 23:00 hours mind you. Also, how on earth does an airline not put tickets of people under the same PNR in seats next to each other? My fiancé had the emergency exit seat and had nobody sitting next to her but they still refused to seat us together after the flight took off. Horrible.",negative,-0.783529,0,20,8.531707,5.905089
✅ Trip Verified ,,Family Leisure,Economy Class,Luton to Athens,May-24,1,1,1,1,1,1,1,no,1,  I never write bad reviews but feel travels must be aware what they are signing up for. They charged me £163 to check in at the airport but their website was not working for online check in. Then they changed all the seats around after our booking and my 12 year old daughter was left to sit by herself and the worse of all they did not unload half of the luggage. At least 50 people in line without any bags. The airline did nothing. In my 40 years of traveling I never felt more disrespect and they have zero customer service. I don’t care what the cost is. I would never use them again.,negative,-0.857186,0,20,8.531707,5.905089
✅ Trip Verified ,A321 Neo,Solo Leisure,Economy Class,Targu Mures to Budapest,May-24,5,5,,,,5,5,yes,10,"  Flight slightly delayed (10-15 minutes). I do not have much expectation from them but to fly me to destination in reasonable time, which they did. Travelled light, cabin luggage only with priority boarding and XXL seat. Cabin crew was friendly and funny. Clearing the airport was slowed by luggage screen at exit.",positive,0.4704,0,20,8.531707,5.905089
Not Verified ,,Solo Leisure,Premium Economy,Altirana to Milan via Mozzate,May-24,1,2,,,,1,1,no,2," Wizz Air seems very cheap at first but there are so many additional costs. At least, I should get a service for what I pay. I purchased priority boarding. Priority boarding allows to enter first without waiting but they were so bad at managing it so it was all mess. People who didn't purchase priority were trying to pass before me and nobody from Wizzair said anything looking at it. It's not even economic airline, not like Ryanair or easyJet. Seat is extremely uncomfortable as well.",negative,-0.902185,0,20,8.531707,5.905089
✅ Trip Verified ,,Solo Leisure,Economy Class,Bacau to London,May-24,1,1,1,1,1,1,1,no,1,  Even if I had online check-in I had to stay in queue for another 2 hours to have it done in the airport. They charge you for a 3 hours flight more than a business flight to Barcelona or Turkey.,negative,-0.575711,0,20,8.531707,5.905089
Not Verified ,,Couple Leisure,Economy Class,Vilnius to Luton,May-24,1,1,1,1,1,1,2,no,1," Beware of Wizz Air! I purchased a croissant on my flight from Lithuania to Luton, London, only to find out it was expired for three weeks. It highlighted the complete lack of product checks by the crew. When I contacted customer service, their response was dismissive, refusing any refund for the tainted purchase. It's evident that Wizz Air prioritizes profit over passenger safety and satisfaction. Save yourself the trouble and avoid Wizz Air. Their negligence and poor customer service are inexcusable.",negative,-0.821536,0,20,8.531707,5.905089
Not Verified ,,Solo Leisure,Economy Class,Belgrade to Gothenburg,May-24,2,2,,,1,1,1,no,1,"   I did not manage to use the app for check in. To my surprise it will cost you 50 euro to check in at the airport. In the end this becomes another expensive airline, but with peculiar luggage allowance and not even a bottle of water included. Do not recommend.",negative,-0.751886,0,20,8.531707,5.905089
Not Verified ,,Family Leisure,Economy Class,Gatwick to Dalaman ,May-24,,,,,,,1,no,1,"   I have never been so disgusted with an Airline in all my life, I booked these flights months in advance and picked the flight times wisely as I am travelling with my Toddler so we need to travel in the day, and just over a week before they inform us that they have changed the flights, so now they are flying at night, when I ring to tell them I need to cancel they say they will not refund the money as it is within the 301 minutes allowed time frame. They changed the flight by exactly 300 minutes, so now we have to buy new flights with easyjet and be £500 out of pocket because they refuse to refund us for a flight we can no longer make now because they changed the flight, simply not good enough, Disgusting behaviour from them, never fly with them again",negative,-0.958581,0,20,8.531707,5.905089
✅ Trip Verified ,,Family Leisure,Economy Class,Malaga to Vienna,Apr-24,1,1,,,,1,1,no,1,"  We flew from Vienna to Malaga arrival was about 10 PM, after arrival we have been waiting for the luggage and as we traveled with kids stroller as well. When the stroller arrived it was completely damaged, because the one front wheel was broken from the frame (no repair possible, later confirmed by manufacture also). I wanted to find at the airport responsible person from Wizz Air - baggage claim, however they were closed, I asked another airlines offices as Ryanair (next to Wizz Air) they are closed maybe will open, maybe not but you can wait .. it was already 10:40PM, so I wanted to reach Wizz Air support via phone - I was not successful. We decided to go to our accommodation by taking the taxi, it was approx. 100km from the airport, during the route I have submitted online claim (16th April 2024) form. Today 6th May 2024, I have received feedback that I don't have a PIR report, so they are going to close the case. Okay I understand, but how I could get the PIR report, when their office was closed? The cost of new frame - confirmed by damage report is 350 EUR - no compensation from Wizz Air. Next time it is worth to fly via more expensive airlines which they have open baggage claim office, when their plane is coming to the airport and something similar can happened.",negative,-0.379868,0,20,8.531707,5.905089
Not Verified ,,Family Leisure,Economy Class,Paris to Belgrade,May-24,1,1,1,1,1,1,1,no,1,"   Wizz Air is not worth it at all. better to give more money for a big and expensive airline, even if you know what awaits you. when we were supposed to go to Paris, they protested in Paris and their flight was cancelled, while other airlines just moved their flights. They didn't answer the phone, and when they did, they gave us false information and seats on planes that didn't exist, flights were constantly changed so that in the end there would be nothing. As we managed to leave, but not via them, the return flight was via them, and that's where the problem with flight confirmation turned out to be. It had to be confirmed no later than 3 hours earlier, which we tried, however, their website did not work and we could not, and they charged us an additional 25 euros per person, it did not matter that it was not our fault and that we have proof that the website did not work. No one knows how to give information to whom to file a complaint and ask for a refund, but we were only told that if we don't pay, there are no tickets for us even if we bought them. to make matters worse, we were given a seat at the exit in case of danger, and we were traveling with a child under 16 who cannot sit there because it is not allowed, so a problem arose and we had to move and beg people to switch seats with us. All in all a very unpleasant experience, which cost the same as if we had gone with AirSerbia, only in a much ruder way. Skip it, it's not worth the hassle and the money.",negative,-0.879817,0,20,8.531707,5.905089
✅ Trip Verified ,,Business,Economy Class,Katowice to Luton,Apr-24,1,1,1,1,1,1,1,no,1,"  Worst staff in the world. Unfortunately this time I had to fly wizz Air due to no other airlines available. Never ever again. Staff keep looking for problems and want to charge you for everything and argue with you. They didn’t even have any drinks and food left on our flight. They have no respect towards customers at all. Wizz Air staff are 20 years behind our civilisation, their behaviour is old minded.",negative,-0.754502,0,20,8.531707,5.905089
✅ Trip Verified ,,Couple Leisure,Economy Class,Iasi to Barcelona,Apr-24,4,3,,,,1,2,no,2,   You can add a carry on type of weight with your ticket but small print says its for check in. Although I went to check in with my big laggauge they didn't alert to check it in. When boarding flight they asked me to pay full price for carry on / extra price and didn't let me check in or get a reimbursement for it. They were delaying people in front of me each one for a different carry on luggage reason. It looked like they had a quata of extra charges and the lady at the desk was behind rude.,negative,-0.689238,0,20,8.531707,5.905089
✅ Trip Verified ,,Solo Leisure,Economy Class,Lisbon to Budapest,Apr-24,2,3,,1,1,1,1,no,1,"  I bought a return ticket with Wizzair. When checking in online I upgraded my seats, for which I paid €58. When trying to complete my check in, the message ""flight overpaid"" appears, as the system did not assumed thee payment of the extra amount as a seat upgrade. They didn't let me check in online. At Lisbon airport, they verified the error and checked me in, free of charge, saying that the problem had been resolved. In Budapest, when I try to check in online, the same message appears and I am not allowed to check in online. I called customer support, (a added value number) to the number indicated on the website for Portugal, and it says it doesn't work. I went to the airport, where there is no company office (but they say they´re the biggest hungarian air line company). I went to the check in counter and they forced me to pay a €40 fee for checking in at the airport. Even after checking the situation, and my inability to check in online due to the company's fault and error, I had to pay this fee or I would not come to Portugal. When a complaint was made to the company, they responded that checking in at the airport involves a fee of €40 and that there is nothing more to say. With all this, I paid €58 to upgrade my seats, plus a €40 fee for not letting me check in online and also the price of the tickets. Low cost? Run away from this company",negative,-0.690527,0,20,8.531707,5.905089
✅ Trip Verified ,,Couple Leisure,Economy Class,Rome to Kuwait,Apr-24,,,,,,,1,no,1,"  Wizz Air canceled my flight from Rome to Kuwait (W46183) and provided no flight cancellation email to me (despite what they claim). I ended up paying hundreds of Euros for an additional night in a hotel and a new, more expensive, flight with a different airline. They are scammers, comfortable lying on the phone and hanging up on you.",negative,-0.714062,0,20,8.531707,5.905089
Not Verified ,A320 neo,Solo Leisure,Economy Class,Larnaca to Luton,Mar-24,5,5,,,,4,5,yes,10,"   My flight on 28/3/2024 from Larnaca to Luton was superb. Check-in a breeze, the flight left on time and arrived early at Luton. I paid just over £35 for a 5 hour flight on a clean aircraft crewed by kind and attentive staff. A guy called Parris seemed to be the cabin steward and was polite and attentive as were all the staff on this flight. Food at best adequate but I usually take my own anyway. Comfortable seats, plenty of room and storage. I have flown with Wizz on several other occasions and have never had cause for complaint. Hold Luggage is pricy so that needs to be factored in but as I went with a free underseat wheeled bag I paid nothing other than the ticket price. Thanks again Wizz Air and thanks to Parris and the rest of the crew for what was a great experience.",positive,0.644815,0,20,8.531707,5.905089
✅ Trip Verified ,,Couple Leisure,Economy Class,Debrecen to Larnaca,Apr-24,2,2,1,1,1,1,2,no,3,"  Unbelievably unprofessional staff. Rude and incompetent over their own rules with luggage and customer care. This by far was mind-blowing. Beware of their luggage size scam when at every one of their terminals. One of their staff says one thing and the other one says a different. It doesn't matter if you are premium, you will be given a hassle. If you're slightly a couple cm oversized, you will likely be charged 60 dollars if not more as they tried to do me but I refused to comply and succeeded. Management should introspect and train properly. Folks, while your luggage may be slight oversized ... stop, pack your stuff small tight! Explore your other options! Let's get it together Wizz air. Enough is enough!",negative,-0.593419,0,20,8.531707,5.905089
✅ Trip Verified ,,Family Leisure,Economy Class,Venice Marco Polo Airport to London Gatwick,Apr-24,1,1,1,1,1,1,1,no,1," I had a problem with online check-in, so I went to the airport without completing the online check-in. They charged me £167.62 to check-in 4 people. This process took approximately an extra minute. It involved scanning 4 passports and printing out 4 boarding passes. That is an hourly rate of approximately £10 000 an hour. In my opinion they cannot justify this, are rip off merchants, and are disgraceful organization. I will never use them again.",negative,-0.868134,0,20,8.531707,5.905089
