status,aircraft,travel_type,travel_class,route,date,seating_comfort,staff_service,food_quality,entertainment,wifi,ground_service,value_for_money,recommended,overall_rating,review,watson_sentiment,watson_score,covid_19,company_age,log_company_size,log_net_profit
Not Verified ,,Business,Economy Class,SSan Francisco to Paris,24-Jan,1,5,2,4,3,1,1,no,2,"   I booked a San Francisco to Paris flight - with extra legroom. Two days before my flight, I received an email from Air France telling me that I could upgrade to business class for an additional $1,100 (no small amount, but a fraction of the normal business class ticket price). Ticket purchased and confirmed. The next day, I received an email saying that they have switched aircraft and that my business class ticket would no longer be honored. I applied for a refund on Air France's non-user-friendly site, only to be told eight times that I didn't qualify, but twice that I did, only to later receive another notice saying I had filled the form out incorrectly. They just send back a decline and no further instructions. This has been going on since January. I've spent hours navigating their system. Long ago had to pay the credit card bill. This run around seems intentional. (I've even had French friends get involved and each time they hit a wall - not because I'm not entitled to a refund, which I clearly am, but because the online system either disconnects or ends up requesting information that I couldn't possibly have.) Even when they told he that my paid for seat was not available, the second line in the email said, ""You will receive a full refund for the price of your ticket."" It's not rocket science. What frustration.",negative,-0.523208,0,91,9.826499,6.990257
Not Verified ,,Family Leisure,Economy Class,Chicago to Paris,24-May,,,,,,2,1,no,1,"   The airline shuffled my daughter and my seats so we were not sitting next to each other. I attempted via chat via the website and with a direct telephone call to have our seats changed so we could sit next to each other. When I finally got to an actual person, they told me they could do nothing to change our seats and they would not do anything. I asked to talk to their supervisor and they said their supervisor does not take telephone calls from customers! We are not getting what we paid for, and there is absolutely no way to resolve the issue with the airline. In my opinion, this is the worst airline experience I have ever had, and the rudest people I have ever dealt with. ",negative,-0.842517,0,91,9.826499,6.990257
Not Verified ,B777-300ER / E190,Business,Business Class,Sao Paolo to Frankfurt via Paris CDG,24-May,5,3,5,4,3,2,4,yes,7," Mixed feelings about the flight between GRU and CDG. On the positive side was the seat, perfectly private with sliding doors, great screen (selection of movies was ok but not overwhelming), of course the food and lovely wines were offered (but not proactively refilled). What really left me puzzled was how incredibly dirty the toilets were, already one hour into the flight. It was obvious no one really checked those toilets at any time. Furthermore the slowness in which the meal was served was disappointing. I am absolutely a fan of no rushed meals when a flight is 10+ hours and I love to take my time, but on this flight it took a full hour before we were served an aperitif and another hour for the meal to be served. At the end of the meal, we were already 3.5 hours into our flight with another seven to go and two hours before landing breakfast was served. Of course one may skip the breakfast and sleep a little longer, but it is hard if all cabin lights are being put on and there is action in the aisles. After connecting at CDG, which is a true ordeal if you have to change terminals, the short regional hop from Paris to Frankfurt was uneventful with reasonable food (though coffee in paper cups).",negative,-0.457626,0,91,9.826499,6.990257
? Trip Verified ,A320,Solo Leisure,Economy Class,Copenhagen to Paris CDG,24-May,4,4,3,,1,1,4,yes,7,"  Copenhagen-Paris 16th May. 2024 on a A320. Checked in on-line but to no avail, as luggage has to be checked in anyway. Check in refused to transfer my luggage to the next leg of journey, which was extremely inconvenient for transit in Paris and costed me at least an hour of extra struggle. Previously, AF in CPH often checked in my luggage to final destination. However, this service is obviously unpredictable, depending on who sits at the counter. The station manager tried and even took over the checking in. However, eventually she declined as she failed to identify any AF agreement with the next airline: Rwandair. Boarding smooth, full flight; on time; luggage arrived well in Paris. Onboard, given emergency seat, fast track. Given access to ¡°Apartment lounge¡± in Copenhagen due to FB status. This lounge is not world class, but is nowadays likely the best in CPH airport concerning food and drinks. Onboard, no free WiFi and no IFE. FAs were good and provided two rounds of cold sandwiches and most sorts of drinks. Wines were acceptable. Respected by FAs as Flying Blue gold card holder and I was well catered for. Could have rated much higher if they would have accepted checking in my luggage beyond Paris.",positive,0.418757,0,91,9.826499,6.990257
? Trip Verified ,,Family Leisure,Economy Class,Paris to Chicago,24-Apr,,,,,,1,1,no,1,"  I have been missing my bag for a month now. I have been calling about my baggage, and it seems no one can locate it. I will never fly with Air France again.",negative,-0.913084,0,91,9.826499,6.990257
Not Verified ,,Family Leisure,Economy Class,Delhi to Los Angeles via Paris,24-Feb,1,1,1,1,1,1,1,no,1," As an Airline Pilot myself, I understand the frustration that comes with passengers bringing a large quantity of baggage. I also understand the reason airlines prefer less bags and charge for additional weight/pieces. As I booked my parents standby to and from India, we didn't know in advance what airline they would be returning with (along with baggage restrictions) based on loads, until shortly before their return. The issue in this circumstance is that they were charged a total of $980 Canadian for 2 legs which we believe is an unreasonable amount. It appears that Air France has decided to just charge whatever they want to maximize profit with little regard for customer service and a positive experience for guests, especially ones travelling interline. Here is the experience from my parents point of view: Our trip with Air France started in Delhi, India where we were booked to fly to Paris and then to Vancouver on 29th Feb, 2024 Although the Staff at Indian Airport was very friendly, they did charge for extra suitcases for me and my wife, from Delhi to Vancouver at $120 CAD each. We each had a cabin briefcase and a personal item with us which was allowed without any issue. Interestingly my itinerary mentioned the flight departure at 1:45 AM as well as the online check-in, but the boarding pass indicated the time as 5:15 AM. I confirmed the flight time by calling Air France office in Delhi and confirmed the time as 5:15 AM which means that my connecting flight from Paris to Vancouver was no longer an option for me. The Paris-Vancouver flight was already departing by the time we reached Paris. Our son booked us to Vancouver via Los Angeles through Air France and then through WestJet from Los Angeles to Vancouver. The customer service at Paris Airport was the worst we have ever seen. No one was really ready to talk to you if you didn't speak French. While booking our luggage again at Paris to Los Angeles, we were asked to pay for 2nd suitcase again. We showed them the paper that we have already paid for the extra suitcase at Delhi Airport so they let us go. While going through the line for security check we were directed to another place and asked to weigh cabin case and personal bag together and were told that the weight is more than 12kg so we have to go back and book the cabin cases. We tried to explain that we are interline standby travelers and we are already connecting through an Air France flight where it was not an issue, but the person there was not ready to listen to us nor was he talking to us in English. He just kept pushing us to go and book our cabin bags. We had to go back and book our cabin briefcases and they charged us an excessive amount for that (240 Euro for each of the 2 cabin briefcases) We wanted to talk to someone and raise our concerns but no one was ready to talk to us or listen to us , probably because we were English speaking. As someone in the industry, I believe it would be hard to justify this amount. I look forward to your response and a chance for Air France to show they do value fairness and most importantly, customer service. After filing a complaint on their website, AF has been having us jump through hoops, utilizing delay tactics and refusal to allow communication with a supervisor. The claim is still pending with no real response.",negative,-0.481796,0,91,9.826499,6.990257
? Trip Verified ,A350,Solo Leisure,Economy Class,Delhi to Paris,24-Apr,4,3,4,3,3,5,4,yes,8," The check in at the Delhi Airport, which was a transfer from my flight from Kathmandu was smooth. Flight was about 40 min late from it's scheduled departure time. Food was nice but I didn't get my pre booked vegetarian meal. I don't know why! Crew members were average in their service. Seat was not so comfortable, landing smooth, in flight entertainment was just average, nothing of my choice was there. Info at Paris airport for check out was enough for an easy transfer to my onwards flight to Nantes.",negative,-0.453781,0,91,9.826499,6.990257
? Trip Verified ,A350,Business,Business Class,Chennai to Paris CDG,24-Feb,5,2,1,,2,3,1,no,3,"  It was a night flight. The hard product was fine - fully flat bad and reasonable privacy. The soft product was variable from very poor to mediocre. The worst part of it was catering. The supper had only one option on offer for the main dish, and it was an Indian food option - too spicy and heavy for the time. The rest felt very economical; the supper was not worth the sleep time spent on it. The breakfast was much worse - I chose scrambled eggs and vegetables (in a hope that this would be basic enough for not being screwed up), and I was wrong. It was the worst breakfast I had in years. It tasted like the cheapest deep frozen breakfast from a discounted grocery. Aside the meals the other aspects of the soft product were passable, although very economical in any respect ¨C the cushion was very small, the duvet was thin, the necessity bag very poorly stocked (as well as the WC), the snack buffet was very poor. The first shift of flight attendants was busy and unconcerned, almost on the verge of rude. The second shift was nicer.",negative,-0.721135,0,91,9.826499,6.990257
? Trip Verified ,,Solo Leisure,Business Class,Paris to San Francisco,24-Feb,3,1,1,2,,3,2,no,5,"  After I checked in at the CDG airport, I went to the lounge. The lounge was very nice. It had all the food and beverages. When I boarded the plane, the female flight attendant was very nice. She asked me if she can hang my coat. The champagne and the warm towel was a nice touch. They food was a bit salty and all I can eat was the bread. But there is no butter, so I pressed the call light and request for butter. A male flight attendant answered and told me to wait while he looks for butter. I waited and he returned and told me that there's no butter. I don't speak French, so I just said ok.",positive,0.541209,0,91,9.826499,6.990257
? Trip Verified ,Boeing 787-9,Couple Leisure,Economy Class,Ottawa to Turin via Paris,24-Mar,1,3,1,1,,2,1,no,2,"  We did not receive the seats we paid US 75.80 for, on the long haul portion of the outbound flight. I asked for a refund. Here is how the AF customer service agent responded: ¡°Upon reviewing your reservation and the details provided, it appears that you were indeed assigned seats 17B and 17C, which were in the regular economy category as per your initial booking. There was no upgrade applied to these seats, and you received exactly what was requested.¡± After repeated rebuttals to the AF agent, there has been silence.",negative,-0.445811,0,91,9.826499,6.990257
Not Verified ,,Family Leisure,Economy Class,Los Angeles to Nice ,23-Jul,4,3,2,4,,3,1,no,2,"? ?They charged for our underseat bag stating it was too big. On our way home, they had two lines with live person to  check your bag so they can bill you when they force you to check it in. I paid $240 for bags that could have been a personal item,  I paid premium for economy flights and felt this is such bare bottom from such an airline. ",negative,-0.647654,0,90,9.826499,6.990257
? Trip Verified ,,Solo Leisure,Economy Class,Vancouver to Paris,24-Mar,1,1,1,1,1,1,1,no,1," Not great staff or service compared to other airlines. On a long haul flight they are the worst, not enough water or drinks and sloppy service and awful food. Connection was too short time to transfer and flight was impossible to get resulting in more waiting hours and there is no way they should have know this, everyone in the Paris airport around me have either missed their flights or are struggling to get them. France has the worst airline and airport.",negative,-0.922578,0,91,9.826499,6.990257
Not Verified ,,Couple Leisure,Economy Class,Buenos Aires to Manchester via Paris,24-Mar,2,1,1,2,2,2,2,no,5," Boarded the plane at about 10.45pm from Buenos Aires to Manchester via stop over in Paris. The first leg of the flight was to take 13 hours. We were served a meal (chicken curry) and dinks about one hour into the flight and then nothing for 12 hours. They kept the lights switched off until one hour before we landed and then served us breakfast but the time in France was 3.45pm. During the time the lights were switched off the staff did not come round the plane, I think on such a long haul we should have received breakfast and lunch and that the lights on the plane should have been switched on sooner. Are Air France trying to save money by not providing their passengers with meals and drinks.",negative,-0.261065,0,91,9.826499,6.990257
? Trip Verified ,A330,Solo Leisure,Economy Class,Beirut to London via Paris,24-Feb,3,4,4,3,,4,4,yes,7," Air France was a step above their competitors on this route (or routes of an equivalent length), providing a full meal service, decent selection of alcoholic beverages (and the glass of Champagne!), and IFE on the flight from Beirut to Paris. Service was friendly and cheerful, and they came through a few times to top-up drinks and check on passengers. The short flight from Paris to London was also fine, with a tea and coffee service provided. Overall, the flights were good, and a step up from other European airlines. The downside was that my flight from Beirut was delayed a couple of hours, meaning I missed the connection in Paris, and had to overnight there. However, they looked after me well and soon after landing I was in a hotel room, with a ""care package"" provided.",positive,0.653189,0,91,9.826499,6.990257
? Trip Verified ,,Solo Leisure,Economy Class,London Heathrow to Belgrade via Paris CDG,24-Mar,2,4,,,,1,1,no,2," I misconnected in CDG on a through ticket, purchased directly from Air France, on their website. The flight from Heathrow to Paris left on time and landed on time, but there was no one to operate the jetty at the gate which resulted in waiting another 40 mins on the aircraft. The Captain has not released the seatbelt sign, asked everyone to remain seated. Passengers with connections were getting anxious when we were sat on the aircraft for nearly as long as the duration of the flight. Once we were off, I started my long airside journey to the connecting flight. I ran through the terminal, waited for the connections bus, got on the bus, ran again, joined the queue for immigration, cleared immigration, then went directly to the front of the extremely long airside security queue and very politely asked if I can be fast tracked due to short connection, the security guard has agreed and allowed me through. I ran again and got to the gate, the aircraft was on stand but flight closed. There were another 17 PAX on this flight who missed the exact same connection behind me, they all arrived 30 mins after I got to the gate (they probably waited in security queue). Anyway, Air France refused meal vouchers, accommodation and any sort of rebooking assistance stating it was my fault I had missed the connection. The lady at the desk was unnecessarily rude and even said I had to buy a new ticket out of pocket at the cost of thousands of pounds, and my return journey would also be lost due to me being a noshow. Which didn`t make sense because I purchased a through ticket and a seat at the front, for the security of assistance in the event of disruption. Luckily, I know any decent airline will rebook you if you misconnect on a through ticket under such conditions. I went and purchased hotel for two nights, then went back to the airport and only after I had thrown a tantrum, together with the other 17 passengers who were still there two hours later arguing with staff, have they agreed to rebook us on the next flight, two days later in the evening. This was a horrible experience, unnecessarily stressful and a waste of everyone`s time. I have never dealt with such incompetent airline in my life. Three days later when I arrived at my destination, my luggage (you guessed it) was missing, despite me asking at check-in to make sure my bag would be loaded and receiving reassurance it would. It only arrived in the country a week later, less than 24 hrs before my scheduled return flight to the UK. But to make it worse, it could not be delivered to the address I was staying at, until two days later. If I wanted to have it on the same day, I had the option of driving 120 km to the airport myself and collecting it (which I did). I have filed a claim for the accommodation, meals and other expenses, they have refused to compensate for anything saying it was not their fault I misconnected and the wait for the jetty was not as I remember. It would make sense if the other passengers had all made it, but when 18 PAX misconnect it`s an indication it was not really possible to connect in the first place. So beware of connecting via CDG, Air France may not rebook you if you misconnect on a through ticket.",negative,-0.741004,0,91,9.826499,6.990257
