status,aircraft,travel_type,travel_class,route,date,seating_comfort,staff_service,food_quality,entertainment,wifi,ground_service,value_for_money,recommended,overall_rating,review,watson_sentiment,watson_score,covid_19,company_age,log_company_size,log_net_profit
Not Verified ,,Solo Leisure,Economy Class,Paphos to Aberdeen,24-Apr,2,5,,,,2,1,no,1,"   easyJet failed to reimburse me so I paid for baggage twice! easyJet should be ashamed of themselves. Happy to pocket customers money for their mistakes. You may think that ?60 doesn't matter for being duped into paying for an extra bag through your faulty app, however my one way flight (including baggage) came to approx ?270 so an additional payment of ?60 through the app equates to a 20% overpayment into your pocket.  But the principal stands. I'm a frequent traveller and use many airline apps. And that's why I know what you are doing is wrong. After taking the time to raise this issue with easyJet, twice, and after easyJet failed to reimburse me, I'm going to take it upon myself to try and raise awareness because there certainly is an integrity issue on your part.",negative,-0.806992,0,29,8.552367,5.783825
? Trip Verified ,,Couple Leisure,Economy Class,Madrid to Lisbon,24-Apr,1,1,,,,1,1,no,2,"  EasyJet is not easy to Travel. I am non EU citizen living in Europe since 7-8 years. Travelled with few more airlines inside Europe. EasyJet was not easy this time. My boarding, passport and visa permit was taken long time to verify and they find the reason on my hand carry to not let pass. Was forced to pay extra 48 euro due to the wheel of the carry the size was not fitted according to their requirements.  While I was inside the plane and saw similar types of hand carry and surprisingly was allowed without extra fee. ",negative,-0.767401,0,29,8.552367,5.783825
? Trip Verified ,,Couple Leisure,Economy Class,Gatwick to Glasgow,24-Apr,2,2,,,,1,1,no,1," The cabin bag size check at the boarding gate is smaller than the requirements stated on the website, so many people are stopped and made to pay for bags that are supposedly therefore too big! I always carry and tape measure and measured the box, 2cm smaller all round!",positive,0.338729,0,29,8.552367,5.783825
? Trip Verified ,A320,Solo Leisure,Economy Class,Paris CDG to Milan ,24-Apr,3,4,2,,,2,3,yes,6,"? ?Paris to Milano 4th April 2024 on a newish A320. Ticket not cheap. EasyJet has very restrictive luggage requirements, particular the minuscules dimensions permitted. In CDG Airport, the Terminal D is quite remote; it took me an hour to get there properly from T1, including busses, several passport, BP, and security checks, makes transit in Paris a hassle. Requirements for EasyJet to board early and check in baggage VERY early is, unnecessarily, very strict and scares people to waste a lot of time by being in gate area by far too early. Flight was delayed 1 hour. Information provided was sparse and unclear. Delays of ? to 1 hour is more common on this route by easyJet. Onboard staff professional, announcements were good, provided by a Danish pilot called Andersen. Seats are bolstered, good, but can¡¯t recline. Catering onboard expensive. But altogether somehow OK. Will not refuse to fly Easyjet again.",negative,-0.471185,0,29,8.552367,5.783825
? Trip Verified ,A320,Couple Leisure,Economy Class,Larnaca to Gatwick,24-Mar,5,5,4,,,2,4,yes,8,"  Clean Aircraft, comfortable seats, superb flight attendants. The flying experience was excellent and the service was friendly and cordial. Cabin Crew was excellent in their appearance and duties. The updates from the Pilot and First Officer were frequent and helpful. The bag drop process was automated at LGW, but through a sultry human agent at LCA. In LGW during boarding a member of the ground staff immediately took out the POS machine to charge &48 per cabin bag, even though it did conform to their tight frame contraption. So without checking the bags, she tried to grab ?48 per passenger. I think that easyJet has to look into this. In the end we were not charged as our bags did fit within their strict frame. Apart from their greedy extra charges for hand baggage attempt, I would say that easyJet is very very good. Two flights in March 2024 LCA-LGW and LGW-LCA in A320s with winglets (G-EJCV and G-EJCR) Will fly with easyJet again.",positive,0.608713,0,29,8.552367,5.783825
? Trip Verified ,,Couple Leisure,Economy Class,Edinburgh to Madrid,24-Mar,4,2,1,1,1,1,1,no,2,"  Horrible experience. We were forced to pay 48 pounds each for the backpacks which, surprisingly, had come perfectly packed on the outbound flight to Edinburgh. The height of ridiculousness was on the plane, after paying because the backpack supposedly didn't fit under the seat, the flight attendant told me that I had to put it under the seat and I couldn't use the cabin. When asked why I had to pay, I couldn't answer. A shame and an abuse to go get money at no cost. Experi¨ºncia horr¨ªvel. Fomos obrigados a pagar 48 libras cada pelas mochilas que, pasme-se, tinham vindo perfeitamente acondicionadas no voo de ida para Edimburgo. O c¨²mulo do rid¨ªculo foi dentro do avi?o, depois de pagar porque supostamente a mochila n?o cabia debaixo do assento, a comiss¨¢ria de bordo me dizer que a tinha que p?r debaixo do assento e n?o podia usar a cabine. Quando questionada sobre o porqu¨º de ter tido que pagar, n?o me soube responder. Uma vergonha e um abuso para irem buscar dinheiro a custa de nada.",negative,-0.838399,0,29,8.552367,5.783825
? Trip Verified ,,Couple Leisure,Economy Class,London Luton to Glasgow,24-Feb,1,1,1,1,1,1,1,no,1," Very bad experience. Don't go with this company, you will regret. We were charged for extra baggage on the gate just to hear the gate is already closed. Great, and guess what, they don't want to refund us the money for the extra bag. Really not worth it to bother with them, rather pay a little extra for a reliable airline and don't be treated like this.",negative,-0.875099,0,29,8.552367,5.783825
? Trip Verified ,,Couple Leisure,Economy Class,Rovaniemi to Gatwick,24-Jan,1,2,1,1,,1,2,no,3, Hangry! Do not rely on having food. We pre-booked food vouchers (T&Cs: non-transferable or refundable) for our return flight but apparently only the half the food supplies were loaded at Gatwick which the outbound passengers ate almost all of. So there were no hot meals or sandwiches left by the time they reached us in row 6 on the return flight. Surely if we commit to purchasing food on board then EasyJet should commit to having some available or at least sending an email when plane left Gatwick so we could purchase at airport. Got the price of the voucher back but no compensation for going 12 hours without food. Also embarrassed by Gatwick staff at gate concerning a medical bag and seats have very little leg room.,negative,-0.822619,0,29,8.552367,5.783825
Not Verified ,A320,Family Leisure,Economy Class,Nice to Berlin,24-Jan,4,5,,,,5,5,yes,10,"  Basic but good. Flying frequently with so called legacy carriers occasionally I opt for easyJet when times and prices work out and I am always pleased with my choice. This time Nice to Berlin and all was perfect. Boarding well organized, on time departure, crew active in helping (other) passengers to stow their luggage, arrival ahead of scheduled. Luggage on belt when we reached it. It was the best choice we could make for this route, day and occasion. Thank you!",positive,0.961736,0,29,8.552367,5.783825
? Trip Verified ,,Business,Economy Class,Luton to Alicante,24-Jan,4,5,5,,,1,3,no,2,"  I recently flew from Luton to Alicante on January 30th, 2024, on flight EZY2315 (departure time: 15:25). While I appreciate the efficiency of easyJet, I feel compelled to share a concerning experience related to the boarding process. As one of the first passengers at the gate, I observed an easyJet employee who appeared to be responsible for ensuring compliance with luggage policies. Unfortunately, his approach was marked by a level of rudeness that was quite disconcerting. Whether due to a language barrier or personal demeanour, the tone, body language, and facial expressions used towards passengers were far from the expected standards of customer service. I believe in easyJet's commitment to providing a positive travel experience, and I hope this feedback contributes to maintaining those high standards.",positive,0.497394,0,29,8.552367,5.783825
Not Verified ,,Business,Economy Class,Glasgow to Stansted,23-Dec,1,1,,,,1,1,no,1,"  Outrageous return price from Glasgow to Stansted. Delayed out of Glasgow No information given. No staff at the gate until after the departure time. Got on and off the flight without as much as a hello. Crew just looked straight through customers as they got on and off. Dirty, dated cabin. Enough to deter you from eating or drinking on board. Tray table sticky. On my way home today (one week later). Can't check in early apparently. Be warned there are no seats if this happens and none of the the phone charging points worked on the day. If you have your boarding pass on your phone you're in trouble. This is my first and last easyJet flight. Definitely not budget prices. BA business class would have cost less. Flying used to be fun but with easyJet it was an ugly, stressful unpleasant experience. From my experience everything about them is just cheap. From my experience definitely not budget prices. They won't be seeing me again on their tired looking aircraft with cabin crew to match.",negative,-0.738962,0,28,8.552367,5.783825
? Trip Verified ,,Solo Leisure,Economy Class,Luton to Paris CDG,23-Dec,1,1,1,1,1,1,1,no,1,"  Travelled with Easyjet on the 22/12/23 to go home for Christmas from Luton to Paris CDG. My suitcase was lost then located in Luton, allegedly sent on the next flight and finally found still in London. I never had any update from Easyjet and i have tried to contact them everyday since the 22nd. My suitcase contained Christmas presents for my kids alongside my treatment to prevent my seizures. I have now been off my treatment for 8 days (i¡¯m supposed to take it everyday) I¡¯m flying back to London tomorrow and will probably pick up my suitcase where i left it 9 days ago. Worst experience ever",negative,-0.858866,0,28,8.552367,5.783825
? Trip Verified ,A320,Couple Leisure,Economy Class,London Gatwick to Tenerife South,23-Nov,5,5,5,,,5,5,yes,10,"  Great experience from start to finish. Staff were kind and helpful, both on the ground and in the air. Flight took off broadly on time and landed slightly early. Good service in the air; the cabin crew were efficient to get through the full cabin twice with the trolley.",positive,0.901078,0,28,8.552367,5.783825
? Trip Verified ,A320,Couple Leisure,Economy Class,Tenerife South to London Gatwick,23-Nov,5,5,5,,,5,5,yes,10,"  Busy flight, very full which led to a slow boarding process. However, the cabin crew worked hard to help people settle down and find space for the cabin baggage so that we could depart on time. Flight was smooth overall. Happy to use them again and would recommend to others.",positive,0.590374,0,28,8.552367,5.783825
Not Verified ,A320,Family Leisure,Economy Class,Gatwick to Berlin Brandenburg,23-Dec,3,4,,,,1,3,yes,6,"  Flew with EasyJet on flight EJU8629 from Gatwick to Berlin on Sunday 17th December. The flight was perfectly adequate, with the boarding and departure from Gatwick being fine. On arrival in Berlin, is where it fell apart. On arrival at a remote gate, firstly we had to wait over 10 minutes for steps to arrive, and then a further 5 minutes for a bus to arrive to take us to the terminal. Cabin made light of the fact, that they have come to expect this at Berlins new airport. Frankly, if I was paying service fees to the airport, I would be kicking off about the lack of service provided. As a customer, it would put me flying into Berlin with EasyJet into Berlin (flew into Berlin in September with BA and though then had a gate straight away, had to wait 90 minutes for baggie to arrive). Thumbs up for the flight but thumbs down for the service at the airport.",negative,-0.485351,0,28,8.552367,5.783825
? Trip Verified ,A320 neo,Solo Leisure,Economy Class,Gran Canaria to Glasgow,23-Dec,5,5,5,,,5,5,yes,10," Another great flight with easyJet. Check-in well organised with separate Pluscard desk. Security busy but plenty of lanes open. Boarding well organised with short wait on aircraft being prepared, buses to aircraft from terminal. Warm and welcoming crew onboard. Good selection of fresh options and drinks available, lights put on dim to allow passengers to rest which was good. Decent legroom onboard these easyJet aircraft. Clear announcements from both flight deck and cabin crew. Buses on arrival into Glasgow and immigration was quick and bags on carousel within 5-10 minutes. Always my first choice when flying.",positive,0.723883,0,28,8.552367,5.783825
? Trip Verified ,A21N,Solo Leisure,Economy Class,Milan Malpensa to Lisbon,23-Dec,2,2,3,1,1,2,3,no,1," The flight departed almost 3 hours late, apparently due to fog in Lisbon, then changed to traffic restrictions. Operations shouldn't exist when airports simply can't handle it. One of the cabin crew was rather nervous and stressed out which didn't help, due to the delay passengers get off the plane, then crew needed to check bags one by one with passengers. Everything done professionally but very troublesome. On arrival buses also arrived late.",negative,-0.816957,0,28,8.552367,5.783825
? Trip Verified ,A321 Neo,Couple Leisure,Economy Class,Madeira to Lisbon,23-Dec,5,5,,,,4,5,yes,9,"? ?Flight landed on-time despite late departure. Boarding was too early, so we had to wait in line until arriving passengers disembarked. Cabin crew was friendly. Clean airplane. Simple flight, nothing extra.",negative,-0.462629,0,28,8.552367,5.783825
? Trip Verified ,Airbus 320,Couple Leisure,Economy Class,Lisbon to Madeira,23-Nov,4,3,,,,2,4,yes,8,"  Flight delayed for 40 minutes, boarding started and we had to wait in the bus until the crew prepared the aircraft. Slim seats, with extra-payment for larger leg-space seats. Catering only for extra fee - no cash accepted, only card. No inflight entertainment, no device-charging possibility. A low-cost flight which fulfilled it¡¯s job.",negative,-0.808993,0,28,8.552367,5.783825
Not Verified ,,Couple Leisure,Economy Class,Berlin to Manchester,23-Nov,1,1,1,,,1,1,no,1,"  Awful! Flew from Berlin on 26/11/23. After purchasing hold storage space, was told by extremely rude check in staff, that my cabin sized bag was too big and charged €58, despite it fitting in bag measurements guide. Beware! They scam people by including small cabin bags, but have exorbitant charge for having a ¡°large¡± cabin bag. If you don¡¯t travel often you may fall fowl of this scam. Flight was also delayed, I will never use again.",negative,-0.945208,0,28,8.552367,5.783825
? Trip Verified ,A320,Couple Leisure,Economy Class,Lanzarote to Luton,23-Nov,3,5,5,,,5,5,yes,10,"? ?Great experience. Baggage drop was quick, boarding was smooth (speedy boarding was honoured), flight departed on time and landed slightly ahead of schedule. Onboard service was efficient and all staff were friendly (ground staff and cabin crew). Couldn't have asked for more, especially given the great price for the ticket. Looking forward to my next flight with them.",positive,0.867822,0,28,8.552367,5.783825
? Trip Verified ,A320,Solo Leisure,Economy Class,Gatwick to Arrecife,23-Nov,1,5,5,,,3,3,no,6,"  Easy baggage drop at Gatwick but boarding was disorganised. Onboard service was good and flight arrived on time. Seat was cramped and no space for bulkhead passengers to put hand luggage in overhead compartments nearby, so had to store them many rows behind!",negative,-0.474534,0,28,8.552367,5.783825
? Trip Verified ,,Solo Leisure,Economy Class,Milan to Prague,23-Jul,,,,,,,1,no,1,"  Terrible airline with horrible online customer service. My flight from Milan to Prague itself was fine, but it was the issue I encountered a week beforehand which will be the reason I would never fly with Easyjet ever again. I was forced to cancel my flight from Naples to Athens due to an injury I sustained whilst on my European vacation. This flight was not refunded to me despite having purchased their travel insurance they offer when buying plane tickets on their website. When I made the claim they informed me that in the fine print of their terms and conditions, this travel insurance is only valid for Italian citizens. So essentially they sold me a service that they knew would not be valid if claimed by any international travellers. This sort of deceptive business tactics shows nothing less of the poor ethics this company has towards its customers.",negative,-0.788858,0,28,8.552367,5.783825
? Trip Verified ,,Solo Leisure,Economy Class,Lisbon to Barcelona,23-Nov,1,1,,,,1,1,no,1," Never fly with easyJet. Horrible customer service in Lisbon. They close their gates 1hr before flight time. So in order to make your flight on time please arrive 3hrs before your departure time. Missed our flight and lady at ticket office was charging us about $300 to put us on the next flight including our luggage price. I told her it¡¯s too expensive so she advised to look online and book another flight. So that¡¯s what I did since it was cheaper and better timing. I arrived to Barcelona to claim my luggage from my missed flight ¡ª turns out my luggage was still in Lisbon. Unbelievable. Nice guy in Barcelona did help. Everyone at Lisbon, at least 4 different customer agents did not help at all.",negative,-0.62348,0,28,8.552367,5.783825
? Trip Verified ,A319,Couple Leisure,Economy Class,Faro to Glasgow,23-Oct,3,5,,,,3,4,yes,8,"  Outbound flight from Glasgow to Faro on 21/10.23 was about 15 minutes late but not noticeable, uneventful flight apart from a young child continually kicking the back of my seat and a parent who didn't know how to parent. Arrived early. Crew seemed upbeat and friendly. Return flight from Faro to Glasgow 28/10/23 was a different story. Faro was a disaster. Check in/baggage drop was at the very far end of the check in desks and was queued out the door. 1 person manning the desk. Eventually someone else appeared then the check in changed to Glasgow and Belfast with just 2 people manning it. The queue by this stage was crazy. Eventually they opened up more desks but took nearly an hour to drop off bags. Next was security, queued out again with only a few channels open. Took a further 25 mins to get through this. Then passport control, once again queued out with only a couple of desks open. I suspect had our hotel transfer not been early we could have easily missed the flight as we only ha a short time after arriving at the gate before boarding started. Flight was ok, apart from the usual lack of legroom and again, though departing a bit late, arrived early at Glasgow. Easyjet was ok but Faro Airport was a nightmare.",negative,-0.65374,0,28,8.552367,5.783825
Not Verified ,,Couple Leisure,Economy Class,Gatwick to Seville,23-Nov,1,1,,,,1,1,no,1,"? ?Charged ?48 per case at departure gate, because my wheels were too big to fit in sizing box. Never fly with them again. ",negative,-0.858817,0,28,8.552367,5.783825
? Trip Verified ,,Family Leisure,Economy Class,London Gatwick to Tenerife South,23-Jul,3,2,,,,1,1,no,1," During flight EZY8035, the 16.35 from Gatwick to Tenerife South on 18th July 2023, the seat (about 13c) of my son was given to another passenger. My son is a full-fare paying passenger (although less than 16 so I am writing this on their behalf). After boarding and takeoff as normal, the seat was momentarily vacated. A passenger in the same row lay down and started to occupy the seat. Neither my son nor I were asked for consent or even informed of this action. All I could tell was a passenger who looked as though they were recovering from a heavy night and wanted a lie down to recover. To enable this, my son had to sacrifice their seat for an indefinite length of time. I raised my issue with the aircrew. My concern was passed between two cabin crew and escalated to their superior. I was told that as I'd momentarily vacated, I had to maintain this status quo and sacrifice my son's seat. No alternative was offered. No timeframe was given. The only option I was presented was for both my son and I to squeeze into the same seat. It transpired the situation lasted for the majority of the flight. The FAA states ""The safest place for your child ... is not in your lap"". Yet this is the situation I found myself in and had to try to explain to my son. When I escalated my concerns, the best the senior cabin crew could offer was advice I should write to customer services and request a refund for my son's seat. I followed this advice. Easyjet has offered no refund at all and closed the case.",negative,-0.53242,0,28,8.552367,5.783825
? Trip Verified ,A320,Solo Leisure,Economy Class,Bordeaux to Bristol,23-Oct,3,5,,,,3,3,yes,5,"  A very mixed bag. As a party of 4 we each booked and paid for 15kg hold luggage, before departure, I received an email saying we had 23kg. 3 of us had about 10kg and one went for 23kg. bag drop at Bristol was exemplary, machines worked well and helpful staff on standby to assist - no mention of extra fee. Bordeaux departure was mess, it says Billi L on the boarding pass, but who would know that that meant a shed at the end of the main terminal that was for low cost airlines - all the Departures signage coming from the hire car drop zone is to the main terminal in the opposite direction. At bag drop there was initially only 1 person sitting at a desk who was more interested in talking to colleagues rather than check in passengers' luggage. Then 2 more arrived and a panic to pull forward passengers travelling to Palma and Marseilles. The last member of our party was charged 45 euros for excess baggage despite having the same baggage as on the outbound flight. The rest of the boarding procedure was an equally overcrowded, hot and unpleasant experience. Why not use the main terminal, especially now it is about empty following France's partial domestic flight ban. Low visibility at Bristol resulted in an aborted landing followed by diversion to Cardiff. The crew were excellent, they kept us informed throughout, the captain stood at the front of the cabin and gave updates directly. The weather in Bristol cleared, they refuelled and got us there a little 2 hours late, well handled.",negative,-0.517333,0,28,8.552367,5.783825
? Trip Verified ,,Solo Leisure,Economy Class,Amsterdam to Naples,23-Sep,,,,,,1,3,no,1,"  I have flown with easyJet several times in previous years, but this time I had the unfortunate experience of learning about their handling of flight cancellations. First, I should note that the easyJet terminal at Schipol Airport is separate from all other airlines and has inadequate seating and very limited services. My flight from Amsterdam to Naples was canceled about 30 mins before the departure time, without any prior notice whatsoever that there might be any problems. There were no easyJet staff available to explain what to do. Asking other passengers with previous experience of easyJet cancellations was the only option. I went to the easyJet desk in the baggage claim area but the staff did nothing to help the stranded passengers. Recovering my checked package took 2 hours. After a long delay, the easyJet app offered the option to rebook on another flight, but in fact there were no other flights to Naples, Rome or Milan during the following two days. Compared to my experience with other airlines in similar situations, this was absolutely the worst.",negative,-0.851249,0,28,8.552367,5.783825
? Trip Verified ,A320,Solo Leisure,Economy Class,Naples to London Gatwick,23-Sep,1,3,3,,,1,4,no,3," Pretty poor performance by easyJet at their ¡°focus city¡± of Naples. Whilst bag-drop was straightforward and easy, getting through passport control was a total nightmare. At least a couple of hundred passengers were trying to reach the immigration booths at the B gates but were prevented by doing so by temporary barriers erected ostensibly to control the crowds but which instead resulted in passengers being kettled and trapped in scary conditions (i.e. risk of being crushed and little to no working air conditioning). One could argue this is the airport¡¯s responsibility rather than the airlines¡¯, but both Ryanair and jet2 sent their staff to the barriers to allow ONLY their passengers past the barriers; easyJet passengers were not allowed through and had to wait for other airline passengers to pass through and then slip through behind them whenever they could. EasyJet did not send down any staff to advocate for their passengers stuck behind the barriers and it was the most chaotic crowd I have ever seen waiting to be stamped out of any country. As a result, our flight was delayed by one hour simply because half of the passengers were still waiting to clear passport control (I overheard one of the ground staff confirm this to the cabin crew after I had been able to finally board). The flight itself was fine, but the experience at Naples airport was harrowing and it was upsetting to see how other low cost airlines bothered to get their passengers passed the barrier whilst easyJet staff were nowhere to be seen.",negative,-0.854276,0,28,8.552367,5.783825
? Trip Verified ,,Solo Leisure,Economy Class,Gatwick to Isle of Man,23-Sep,1,1,1,1,1,1,1,no,1,"  Absolutely terrible. From start to end the experience with them is as awful as it can be.  First, buying a ticket is full of pop ups and weird advertising jumping in your way; glitches and more glitches; their boarding is always last minute; at the entry in the lounge you see the fed up, grumpy, not well-mannered staff; the staff always try to find something on you to charge you extra. On my last trip there's this staff member in LGW, not very presentable, checking the boarding passes - he asked many travellers to insert their baggage in a tiny space to verify the measurements; if it was half an inch bigger than that, then he tells the travellers that would be ?48 extra charge.  The only pleasurable person so far was the pilot, could see and hear his positiveness; he was assisting a little the staff in the flight to do their duties; then he apologised to us that he cannot do that anymore as he's got a plane to fly.",negative,-0.812827,0,28,8.552367,5.783825
